Chemical	cJMP	Unit	Date	Well	Organism	Dose	Induced	Rep	Time	OD600	Instrument
none	0		2022-03-17	A1	5133	0	FALSE	1	0	0.093	sunrise
mecillinam	32	ng/mL	2022-03-17	A2	5133	60	FALSE	1	0	0.093	sunrise
nickel(ii)	70	mM	2022-03-17	A3	5133	5	FALSE	1	0	0.106	sunrise
novobiocin	37	ug/mL	2022-03-17	A4	5133	60	FALSE	1	0	0.095	sunrise
urea	227	mM	2022-03-17	A5	5133	500	FALSE	1	0	0.096	sunrise
vancomycin	56	ug/mL	2022-03-17	A6	5133	100	FALSE	1	0	0.095	sunrise
none	0		2022-03-17	A7	5146	0	FALSE	1	0	0.093	sunrise
mecillinam	32	ng/mL	2022-03-17	A8	5146	60	FALSE	1	0	0.093	sunrise
nickel(ii)	70	mM	2022-03-17	A9	5146	5	FALSE	1	0	0.107	sunrise
novobiocin	37	ug/mL	2022-03-17	A10	5146	60	FALSE	1	0	0.095	sunrise
urea	227	mM	2022-03-17	A11	5146	500	FALSE	1	0	0.093	sunrise
vancomycin	56	ug/mL	2022-03-17	A12	5146	100	FALSE	1	0	0.093	sunrise
none	0		2022-03-17	B1	5133	0	FALSE	2	0	0.094	sunrise
mecillinam	32	ng/mL	2022-03-17	B2	5133	60	FALSE	2	0	0.099	sunrise
nickel(ii)	70	mM	2022-03-17	B3	5133	5	FALSE	2	0	0.106	sunrise
novobiocin	37	ug/mL	2022-03-17	B4	5133	60	FALSE	2	0	0.097	sunrise
urea	227	mM	2022-03-17	B5	5133	500	FALSE	2	0	0.095	sunrise
vancomycin	56	ug/mL	2022-03-17	B6	5133	100	FALSE	2	0	0.094	sunrise
none	0		2022-03-17	B7	5146	0	FALSE	2	0	0.093	sunrise
mecillinam	32	ng/mL	2022-03-17	B8	5146	60	FALSE	2	0	0.094	sunrise
nickel(ii)	70	mM	2022-03-17	B9	5146	5	FALSE	2	0	0.107	sunrise
novobiocin	37	ug/mL	2022-03-17	B10	5146	60	FALSE	2	0	0.096	sunrise
urea	227	mM	2022-03-17	B11	5146	500	FALSE	2	0	0.093	sunrise
vancomycin	56	ug/mL	2022-03-17	B12	5146	100	FALSE	2	0	0.098	sunrise
none	0		2022-03-17	C1	5133	0	FALSE	3	0	0.093	sunrise
mecillinam	32	ng/mL	2022-03-17	C2	5133	60	FALSE	3	0	0.093	sunrise
nickel(ii)	70	mM	2022-03-17	C3	5133	5	FALSE	3	0	0.107	sunrise
novobiocin	37	ug/mL	2022-03-17	C4	5133	60	FALSE	3	0	0.095	sunrise
urea	227	mM	2022-03-17	C5	5133	500	FALSE	3	0	0.094	sunrise
vancomycin	56	ug/mL	2022-03-17	C6	5133	100	FALSE	3	0	0.094	sunrise
none	0		2022-03-17	C7	5146	0	FALSE	3	0	0.093	sunrise
mecillinam	32	ng/mL	2022-03-17	C8	5146	60	FALSE	3	0	0.094	sunrise
nickel(ii)	70	mM	2022-03-17	C9	5146	5	FALSE	3	0	0.106	sunrise
novobiocin	37	ug/mL	2022-03-17	C10	5146	60	FALSE	3	0	0.095	sunrise
urea	227	mM	2022-03-17	C11	5146	500	FALSE	3	0	0.093	sunrise
vancomycin	56	ug/mL	2022-03-17	C12	5146	100	FALSE	3	0	0.094	sunrise
none	0		2022-03-17	D1	5133	0	FALSE	4	0	0.093	sunrise
mecillinam	32	ng/mL	2022-03-17	D2	5133	60	FALSE	4	0	0.093	sunrise
nickel(ii)	70	mM	2022-03-17	D3	5133	5	FALSE	4	0	0.106	sunrise
novobiocin	37	ug/mL	2022-03-17	D4	5133	60	FALSE	4	0	0.095	sunrise
urea	227	mM	2022-03-17	D5	5133	500	FALSE	4	0	0.093	sunrise
vancomycin	56	ug/mL	2022-03-17	D6	5133	100	FALSE	4	0	0.092	sunrise
none	0		2022-03-17	D7	5146	0	FALSE	4	0	0.093	sunrise
mecillinam	32	ng/mL	2022-03-17	D8	5146	60	FALSE	4	0	0.093	sunrise
nickel(ii)	70	mM	2022-03-17	D9	5146	5	FALSE	4	0	0.106	sunrise
novobiocin	37	ug/mL	2022-03-17	D10	5146	60	FALSE	4	0	0.096	sunrise
urea	227	mM	2022-03-17	D11	5146	500	FALSE	4	0	0.094	sunrise
vancomycin	56	ug/mL	2022-03-17	D12	5146	100	FALSE	4	0	0.095	sunrise
