Chemical	cJMP	Unit	Date	Well	Organism	Dose	Induced	Rep	Time	OD600	Instrument
none	0		2022-03-11	A1	5111	NA	FALSE	1	0	0.0902	icontrol
ampicillin	6	ug/mL	2022-03-11	A2	5111	4	FALSE	1	0	0.0924	icontrol
mecillinam	32	ng/mL	2022-03-11	A3	5111	120	FALSE	1	0	0.0923	icontrol
novobiocin	37	ug/mL	2022-03-11	A4	5111	120	FALSE	1	0	0.0907	icontrol
urea	227	mM	2022-03-11	A5	5111	100	FALSE	1	0	0.0962	icontrol
vancomycin	56	ug/mL	2022-03-11	A6	5111	50	FALSE	1	0	0.0925	icontrol
none	0		2022-03-11	A7	5142	NA	FALSE	1	0	0.0896	icontrol
ampicillin	6	ug/mL	2022-03-11	A8	5142	4	FALSE	1	0	0.0903	icontrol
mecillinam	32	ng/mL	2022-03-11	A9	5142	120	FALSE	1	0	0.0935	icontrol
novobiocin	37	ug/mL	2022-03-11	A10	5142	120	FALSE	1	0	0.0909	icontrol
urea	227	mM	2022-03-11	A11	5142	100	FALSE	1	0	0.0923	icontrol
vancomycin	56	ug/mL	2022-03-11	A12	5142	50	FALSE	1	0	0.095	icontrol
none	0		2022-03-11	B1	5111	NA	FALSE	2	0	0.0926	icontrol
ampicillin	6	ug/mL	2022-03-11	B2	5111	4	FALSE	2	0	0.09	icontrol
mecillinam	32	ng/mL	2022-03-11	B3	5111	120	FALSE	2	0	0.0907	icontrol
novobiocin	37	ug/mL	2022-03-11	B4	5111	120	FALSE	2	0	0.0916	icontrol
urea	227	mM	2022-03-11	B5	5111	100	FALSE	2	0	0.0925	icontrol
vancomycin	56	ug/mL	2022-03-11	B6	5111	50	FALSE	2	0	0.091	icontrol
none	0		2022-03-11	B7	5142	NA	FALSE	2	0	0.0914	icontrol
ampicillin	6	ug/mL	2022-03-11	B8	5142	4	FALSE	2	0	0.0894	icontrol
mecillinam	32	ng/mL	2022-03-11	B9	5142	120	FALSE	2	0	0.2078	icontrol
novobiocin	37	ug/mL	2022-03-11	B10	5142	120	FALSE	2	0	0.0928	icontrol
urea	227	mM	2022-03-11	B11	5142	100	FALSE	2	0	0.0894	icontrol
vancomycin	56	ug/mL	2022-03-11	B12	5142	50	FALSE	2	0	0.0912	icontrol
none	0		2022-03-11	C1	5111	NA	FALSE	3	0	0.0898	icontrol
ampicillin	6	ug/mL	2022-03-11	C2	5111	4	FALSE	3	0	0.0941	icontrol
mecillinam	32	ng/mL	2022-03-11	C3	5111	120	FALSE	3	0	0.0931	icontrol
novobiocin	37	ug/mL	2022-03-11	C4	5111	120	FALSE	3	0	0.0921	icontrol
urea	227	mM	2022-03-11	C5	5111	100	FALSE	3	0	0.09	icontrol
vancomycin	56	ug/mL	2022-03-11	C6	5111	50	FALSE	3	0	0.0923	icontrol
none	0		2022-03-11	C7	5142	NA	FALSE	3	0	0.0905	icontrol
ampicillin	6	ug/mL	2022-03-11	C8	5142	4	FALSE	3	0	0.0923	icontrol
mecillinam	32	ng/mL	2022-03-11	C9	5142	120	FALSE	3	0	0.0932	icontrol
novobiocin	37	ug/mL	2022-03-11	C10	5142	120	FALSE	3	0	0.0939	icontrol
urea	227	mM	2022-03-11	C11	5142	100	FALSE	3	0	0.0926	icontrol
vancomycin	56	ug/mL	2022-03-11	C12	5142	50	FALSE	3	0	0.0925	icontrol
none	0		2022-03-11	D1	5111	NA	FALSE	4	0	0.092	icontrol
ampicillin	6	ug/mL	2022-03-11	D2	5111	4	FALSE	4	0	0.0939	icontrol
mecillinam	32	ng/mL	2022-03-11	D3	5111	120	FALSE	4	0	0.09	icontrol
novobiocin	37	ug/mL	2022-03-11	D4	5111	120	FALSE	4	0	0.0915	icontrol
urea	227	mM	2022-03-11	D5	5111	100	FALSE	4	0	0.09	icontrol
vancomycin	56	ug/mL	2022-03-11	D6	5111	50	FALSE	4	0	0.0883	icontrol
none	0		2022-03-11	D7	5142	NA	FALSE	4	0	0.0857	icontrol
ampicillin	6	ug/mL	2022-03-11	D8	5142	4	FALSE	4	0	0.0901	icontrol
mecillinam	32	ng/mL	2022-03-11	D9	5142	120	FALSE	4	0	0.0914	icontrol
novobiocin	37	ug/mL	2022-03-11	D10	5142	120	FALSE	4	0	0.0937	icontrol
