Chemical	cJMP	Unit	Date	Well	Organism	Dose	Induced	Rep	Time	OD600	Instrument
none	0		2022-03-16	A1	5123	0	FALSE	1	0	0.161	sunrise
mecillinam	32	ng/mL	2022-03-16	A2	5123	60	FALSE	1	0	0.129	sunrise
nickel(ii)	70	mM	2022-03-16	A3	5123	5	FALSE	1	0	0.189	sunrise
novobiocin	37	ug/mL	2022-03-16	A4	5123	60	FALSE	1	0	0.173	sunrise
urea	227	mM	2022-03-16	A5	5123	500	FALSE	1	0	0.187	sunrise
vancomycin	56	ug/mL	2022-03-16	A6	5123	100	FALSE	1	0	0.199	sunrise
none	0		2022-03-16	A7	5144	0	FALSE	1	0	0.161	sunrise
mecillinam	32	ng/mL	2022-03-16	A8	5144	60	FALSE	1	0	0.163	sunrise
nickel(ii)	70	mM	2022-03-16	A9	5144	5	FALSE	1	0	0.169	sunrise
novobiocin	37	ug/mL	2022-03-16	A10	5144	60	FALSE	1	0	0.175	sunrise
urea	227	mM	2022-03-16	A11	5144	500	FALSE	1	0	0.172	sunrise
vancomycin	56	ug/mL	2022-03-16	A12	5144	100	FALSE	1	0	0.172	sunrise
none	0		2022-03-16	B1	5123	0	FALSE	2	0	0.167	sunrise
mecillinam	32	ng/mL	2022-03-16	B2	5123	60	FALSE	2	0	0.132	sunrise
nickel(ii)	70	mM	2022-03-16	B3	5123	5	FALSE	2	0	0.183	sunrise
novobiocin	37	ug/mL	2022-03-16	B4	5123	60	FALSE	2	0	0.167	sunrise
urea	227	mM	2022-03-16	B5	5123	500	FALSE	2	0	0.178	sunrise
vancomycin	56	ug/mL	2022-03-16	B6	5123	100	FALSE	2	0	0.152	sunrise
none	0		2022-03-16	B7	5144	0	FALSE	2	0	0.129	sunrise
mecillinam	32	ng/mL	2022-03-16	B8	5144	60	FALSE	2	0	0.155	sunrise
nickel(ii)	70	mM	2022-03-16	B9	5144	5	FALSE	2	0	0.178	sunrise
novobiocin	37	ug/mL	2022-03-16	B10	5144	60	FALSE	2	0	0.158	sunrise
urea	227	mM	2022-03-16	B11	5144	500	FALSE	2	0	0.16	sunrise
vancomycin	56	ug/mL	2022-03-16	B12	5144	100	FALSE	2	0	0.162	sunrise
none	0		2022-03-16	C1	5123	0	FALSE	3	0	0.154	sunrise
mecillinam	32	ng/mL	2022-03-16	C2	5123	60	FALSE	3	0	0.132	sunrise
nickel(ii)	70	mM	2022-03-16	C3	5123	5	FALSE	3	0	0.176	sunrise
novobiocin	37	ug/mL	2022-03-16	C4	5123	60	FALSE	3	0	0.173	sunrise
