Chemical	cJMP	Unit	Date	Well	Organism	Dose	Induced	Rep	Time	OD600	Instrument
none	0		2022-03-15	A1	5147	0	FALSE	1	0	0.087	sunrise
mecillinam	32	ng/mL	2022-03-15	A2	5147	60	FALSE	1	0	0.089	sunrise
nickel(ii)	70	mM	2022-03-15	A3	5147	5	FALSE	1	0	0.11	sunrise
novobiocin	37	ug/mL	2022-03-15	A4	5147	60	FALSE	1	0	0.09	sunrise
urea	227	mM	2022-03-15	A5	5147	500	FALSE	1	0	0.088	sunrise
vancomycin	56	ug/mL	2022-03-15	A6	5147	100	FALSE	1	0	0.092	sunrise
none	0		2022-03-15	A7	5142	0	FALSE	1	0	0.087	sunrise
mecillinam	32	ng/mL	2022-03-15	A8	5142	60	FALSE	1	0	0.089	sunrise
nickel(ii)	70	mM	2022-03-15	A9	5142	5	FALSE	1	0	0.102	sunrise
novobiocin	37	ug/mL	2022-03-15	A10	5142	60	FALSE	1	0	0.091	sunrise
urea	227	mM	2022-03-15	A11	5142	500	FALSE	1	0	0.088	sunrise
vancomycin	56	ug/mL	2022-03-15	A12	5142	100	FALSE	1	0	0.088	sunrise
none	0		2022-03-15	B1	5147	0	FALSE	2	0	0.088	sunrise
mecillinam	32	ng/mL	2022-03-15	B2	5147	60	FALSE	2	0	0.089	sunrise
nickel(ii)	70	mM	2022-03-15	B3	5147	5	FALSE	2	0	0.105	sunrise
novobiocin	37	ug/mL	2022-03-15	B4	5147	60	FALSE	2	0	0.09	sunrise
urea	227	mM	2022-03-15	B5	5147	500	FALSE	2	0	0.089	sunrise
vancomycin	56	ug/mL	2022-03-15	B6	5147	100	FALSE	2	0	0.09	sunrise
none	0		2022-03-15	B7	5142	0	FALSE	2	0	0.09	sunrise
mecillinam	32	ng/mL	2022-03-15	B8	5142	60	FALSE	2	0	0.093	sunrise
nickel(ii)	70	mM	2022-03-15	B9	5142	5	FALSE	2	0	0.104	sunrise
novobiocin	37	ug/mL	2022-03-15	B10	5142	60	FALSE	2	0	0.097	sunrise
urea	227	mM	2022-03-15	B11	5142	500	FALSE	2	0	0.089	sunrise
vancomycin	56	ug/mL	2022-03-15	B12	5142	100	FALSE	2	0	0.09	sunrise
none	0		2022-03-15	C1	5147	0	FALSE	3	0	0.088	sunrise
mecillinam	32	ng/mL	2022-03-15	C2	5147	60	FALSE	3	0	0.088	sunrise
nickel(ii)	70	mM	2022-03-15	C3	5147	5	FALSE	3	0	0.106	sunrise
novobiocin	37	ug/mL	2022-03-15	C4	5147	60	FALSE	3	0	0.091	sunrise
urea	227	mM	2022-03-15	C5	5147	500	FALSE	3	0	0.092	sunrise
vancomycin	56	ug/mL	2022-03-15	C6	5147	100	FALSE	3	0	0.091	sunrise
none	0		2022-03-15	C7	5142	0	FALSE	3	0	0.089	sunrise
mecillinam	32	ng/mL	2022-03-15	C8	5142	60	FALSE	3	0	0.09	sunrise
